gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,21,27,0,0,0,2,4,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,8,8,8,7,6,9,7,7,6,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.14,3,7,1
0,21,22,0,0,0,2,4,0,0.631578947368421,0.0,0.0,0.6666666666666666,0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,6,8,8,8,7,7,8,7,8,5,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.54,3,7,1
0,21,23,0,0,0,2,4,0,0.24,0.2,0.42857142857142855,0.4,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,8,8,8,7,7,6,8,7,6,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.61,3,7,1
0,21,24,0,1,0,2,4,0,0.1935483870967742,0.2857142857142857,0.36363636363636365,0.09090909090909091,0.6666666666666666,0.6666666666666666,0.25,0.25,0.25,0.25,0.25,0.25,6,8,8,8,7,5,6,7,7,6,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.21,3,6,1
0,21,25,0,0,0,2,4,0,0.24390243902439024,0.0,0.35294117647058826,0.08333333333333333,0.0,0.25,0.2,0.2,0.2,0.2,0.2,0.2,6,8,8,8,7,4,9,7,4,6,4,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.25,3,6,0
0,21,30,0,0,0,2,4,0,0.14583333333333334,0.3,0.22727272727272727,0.07692307692307693,0.25,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,6,8,8,8,7,7,6,7,4,6,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.34,3,6,1
0,21,28,0,0,0,2,4,0,0.1724137931034483,0.0,0.18518518518518517,0.07142857142857142,0.0,0.23076923076923078,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,6,8,8,8,7,7,6,8,9,8,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.28,3,7,1
0,21,24,0,0,0,2,4,0,0.2564102564102564,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,6,8,8,8,7,5,6,6,8,10,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,-0.36,3,6,1
0,24,27,1,0,1,2,5,0,0.08235294117647059,0.2857142857142857,0.12903225806451613,0.125,0.0,0.07142857142857142,0.2727272727272727,0.030303030303030304,0.13513513513513514,0.14285714285714285,0.0,0.04,7,5,10,8,3,5,7,8,4,6,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.29,4,6,0
0,24,22,1,0,1,2,5,0,0.12371134020618557,0.0,0.0,0.2,0.0,0.0,0.21428571428571427,0.029411764705882353,0.11904761904761904,0.125,0.0,0.038461538461538464,7,5,10,8,3,8,5,6,6,9,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.18,4,7,0
